OrderId,Order Date,Attending Status,Name,Email,Event name,Ticket Quantity,Ticket Type,Ticket Price,Buyer Name,Buyer Email
94f3c979-0948-4cf5-a5c3-03b01e22d508,5/6/23 10:11 AM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,2,VIP,35,tessera backend,tessera.backend@gmail.com
fba825ab-cd6a-4a45-94ad-732e539569d7,5/7/23 3:04 AM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,5,VIP,35,tessera backend,tessera.backend@gmail.com
a5ee4c90-c59f-4600-a0b6-2ffe632c7ec8,5/7/23 3:08 AM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,100,VIP,35,tessera backend,tessera.backend@gmail.com
49695601-d183-4ff9-ab53-a095ac68795a,5/7/23 3:09 AM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,9,VIP,35,tessera backend,tessera.backend@gmail.com
0698b19b-f069-45d9-b49d-0bd45889e39c,5/7/23 3:17 AM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,2,VIP,35,tessera backend,tessera.backend@gmail.com
9d81fa3d-2c21-4981-8155-6691f12601b4,5/7/23 7:05 PM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,2,VIP,35,tessera backend,tessera.backend@gmail.com
f3cd4b1b-4841-44da-9de9-52d40159ecb2,5/7/23 7:15 PM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,2,Regular,14,tessera backend,tessera.backend@gmail.com
44a530e6-3881-45f2-8905-b802d088a228,5/7/23 7:18 PM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,7,VIP,35,tessera backend,tessera.backend@gmail.com
44a530e6-3881-45f2-8905-b802d088a228,5/7/23 7:18 PM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,2,Regular,14,tessera backend,tessera.backend@gmail.com
72bde3e4-4ef9-458e-909a-64182b3a7a24,5/8/23 12:49 PM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,7,VIP,35,tessera backend,tessera.backend@gmail.com
72bde3e4-4ef9-458e-909a-64182b3a7a24,5/8/23 12:49 PM,Attending,tessera backend,tessera.backend@gmail.com,Cross body0000000,2,Regular,14,tessera backend,tessera.backend@gmail.com
